"Section name";"Template name";"Template preview";"Due at";"Tags";"Enqueues";"Deliveries";"Bounces";"Opens";"Open rate";"Views";"Unique views";"Clicks";"Unique clicks";"Click rate";"Clickthrough rate";"Unsubscribes";"Forwards";"Complaints"
"Memo #61: Kelle ühenduses peitub jõud?";"Memo #61: Kelle ühenduses peitub jõud?";"https://9hgnq6yi.sendsmaily.net/templates/0c9666d6-d180-5b70-b847-0631c8ba5d4a/html/";"2020-06-01 08:30:00";;"319";"315";"4";"193";"61.3%";"414";"192";"76";"43";"13.7%";"22.3%";"1";0;0
"Memo #60: Alguses aeglaselt, siis väga kiiresti";"Memo #60: Alguses aeglaselt, siis väga kiiresti";"https://9hgnq6yi.sendsmaily.net/templates/cdf28c09-7fea-5341-b111-36cfe307ea32/html/";"2020-05-25 08:30:00";;"315";"313";"2";"237";"75.7%";"508";"231";"408";"127";"40.6%";"53.6%";0;0;0
"Memo #59: Wind of Change";"Memo #59: Wind of Change";"https://9hgnq6yi.sendsmaily.net/templates/c73cb0bd-0670-5f66-a942-df0589307007/html/";"2020-05-18 08:30:00";;"311";"309";"2";"233";"75.4%";"557";"230";"88";"56";"18.1%";"24.0%";0;0;0
"Memo #58: Inimeste seas";"Memo #58: Inimeste seas";"https://9hgnq6yi.sendsmaily.net/templates/f55baa9c-2687-5327-bf89-c344a7804b16/html/";"2020-05-11 08:30:00";;"310";"307";"3";"206";"67.1%";"462";"201";"129";"73";"23.8%";"35.4%";0;0;0
"Memo #57: Midagi kõrvale";"Memo #57: Midagi kõrvale";"https://9hgnq6yi.sendsmaily.net/templates/c482efd9-ce1b-58ea-9039-4f2c7f507368/html/";"2020-05-04 08:30:00";;"305";"303";"2";"223";"73.6%";"501";"218";"139";"73";"24.1%";"32.7%";0;0;0
"Memo #56: Kes paneb elusid excelisse, kes loob uusi norme...";"Memo #56: kes paneb elusid excelisse, kes loob uusi norme...";"https://9hgnq6yi.sendsmaily.net/templates/b1510093-83d6-53e5-bc2b-21f93b405001/html/";"2020-04-27 08:51:00";;"300";"297";"3";"223";"75.1%";"716";"221";"51";"39";"13.1%";"17.5%";0;0;0
"Memo #55: K.";"Memo #55: K";"https://9hgnq6yi.sendsmaily.net/templates/d9737cbf-8e2e-5b2f-984b-f47776cb086e/html/";"2020-04-20 08:30:00";;"298";"293";"5";"205";"70.0%";"440";"204";"16";"13";"4.4%";"6.3%";0;0;0
"Memo #54: Nähtamatu jalavõru";"Memo #54: Nähtamatu jalavõru";"https://9hgnq6yi.sendsmaily.net/templates/7dcae7a1-b058-52c1-8d77-064c886d8232/html/";"2020-04-13 08:30:00";;"295";"292";"3";"197";"67.5%";"398";"193";"161";"86";"29.5%";"43.7%";0;0;0
"Memo #53: Memo sünnipäevaseminar";"Memo #53: Memo sünnipäevaseminar";"https://9hgnq6yi.sendsmaily.net/templates/80ea0502-29ce-506e-b5f7-39b7fe3093bf/html/";"2020-04-06 08:30:00";;"287";"282";"5";"195";"69.1%";"434";"187";"290";"104";"36.9%";"53.3%";0;0;0
"Memo #52: Mõtted mujale";"Memo #52: Mõtted mujale";"https://9hgnq6yi.sendsmaily.net/templates/0f8ded7d-c12b-51a5-be3c-2695eb3bdaaf/html/";"2020-03-30 08:30:00";;"278";"273";"5";"179";"65.6%";"379";"178";"201";"78";"28.6%";"43.6%";0;0;0
"Memo #51: sõja-aja juhid, hõimulõhe ning Riigikogu kaugtöö";"Memo #51: sõja-aja juhid, hõimulõhe ning Riigikogu kaugtöö";"https://9hgnq6yi.sendsmaily.net/templates/678e8050-6f50-5229-8c6a-037819f5376d/html/";"2020-03-23 08:30:00";;"276";"269";"7";"185";"68.8%";"457";"180";"204";"97";"36.1%";"52.4%";0;0;0
"Memo #50: Püsi palun kodus";"Memo #50: Püsi palun kodus";"https://9hgnq6yi.sendsmaily.net/templates/7b87266f-d0ba-506a-9908-ff229b59d6aa/html/";"2020-03-16 08:30:00";;"274";"270";"4";"196";"72.6%";"1326";"189";"520";"112";"41.5%";"57.1%";0;0;0
"Memo #49: Teie kirjad meile";"Memo #49: Teie kirjad meile";"https://9hgnq6yi.sendsmaily.net/templates/fdc2b512-0f4a-584f-9a0a-70d012c1d331/html/";"2020-03-09 08:30:00";;"274";"271";"3";"180";"66.4%";"405";"180";"37";"21";"7.7%";"11.7%";0;0;0
"Memo #48: Meemidest Levilani";"Memo #48: Meemidest Levilani";"https://9hgnq6yi.sendsmaily.net/templates/b413531e-2af9-51c7-a5b8-ae0824e43ca7/html/";"2020-03-02 08:35:00";;"274";"269";"5";"183";"68.0%";"372";"183";"34";"33";"12.3%";"18.0%";0;0;0
"Memo #47: Levila tuleb kase tagant välja";"Memo #47: Levila tuleb kase tagant välja";"https://9hgnq6yi.sendsmaily.net/templates/605d238f-505f-542d-b351-8fc08565d6aa/html/";"2020-02-24 09:00:00";;"273";"270";"3";"184";"68.1%";"387";"179";"135";"77";"28.5%";"41.8%";0;0;0
"Memo #46: Infodeemia ja E-Eesti Laul";"Memo #46: Infodeemia ja E-Eesti Laul";"https://9hgnq6yi.sendsmaily.net/templates/dec005fd-5ce2-5b49-bcd4-86a1ef75264c/html/";"2020-02-17 08:30:00";;"273";"269";"4";"180";"66.9%";"323";"179";"131";"61";"22.7%";"33.9%";0;0;0
"Memo #45: Kui väärtuslik on Hillar Kohvi võrgustik?";"Memo #45: Kui väärtuslik on Hillar Kohvi võrgustik?";"https://9hgnq6yi.sendsmaily.net/templates/71d52358-b050-5f0e-a35b-2902d7224cd1/html/";"2020-02-10 08:30:00";;"272";"269";"3";"177";"65.8%";"376";"174";"101";"62";"23.0%";"35.0%";0;0;0
"Memo #44: Vanaema raha on vaba. Viirus ka.";"Memo #44: Vanaema raha on vaba. Viirus ka.";"https://9hgnq6yi.sendsmaily.net/templates/9fede57e-4f12-515f-83ad-1d4f2f63b021/html/";"2020-02-03 07:48:00";;"269";"266";"3";"189";"71.1%";"368";"188";"156";"78";"29.3%";"41.3%";0;0;0
"Memo #43: eestikeelne kool, kliimavanurid ja kriisi-käsitlus";"Memo #43: eestikeelne kool, kliimavanurid ja kriisi-käsitlus";"https://9hgnq6yi.sendsmaily.net/templates/36688d4b-e3c4-573d-9c21-0ded60e4c658/html/";"2020-01-27 08:30:00";;"268";"265";"3";"178";"67.2%";"367";"177";"59";"33";"12.5%";"18.5%";"1";0;0
"Memo #42: Andmepuiste";"Memo #42: Andmepuiste";"https://9hgnq6yi.sendsmaily.net/templates/16cdd268-314b-58d7-88ba-a088a757607b/html/";"2020-01-20 08:30:00";;"268";"265";"3";"177";"66.8%";"405";"174";"61";"40";"15.1%";"22.6%";"1";0;0
"Memo #41: Hakkame ilusaks";"Memo #41: Hakkame ilusaks";"https://9hgnq6yi.sendsmaily.net/templates/f959e1e9-3d11-5858-80a7-0b3c1575861e/html/";"2020-01-13 08:30:00";;"266";"262";"4";"205";"78.2%";"396";"204";"100";"39";"14.9%";"19.0%";0;0;0
"Memo #40: Levila esimene päev";"Memo #40: Levila esimene päev";"https://9hgnq6yi.sendsmaily.net/templates/ef6e405e-4757-5890-bb6b-9fea5e4544f6/html/";"2020-01-06 08:30:00";;"263";"260";"3";"186";"71.5%";"391";"185";"162";"84";"32.3%";"45.2%";0;0;0
"Memo #39: Omad klemmid";"Memo #39: Omad klemmid";"https://9hgnq6yi.sendsmaily.net/templates/a4cc1a14-7101-597f-ab4e-d763d0a09cc3/html/";"2019-12-30 08:30:00";;"254";"250";"4";"160";"64.0%";"374";"157";"142";"62";"24.8%";"38.8%";0;0;0
"Memo #38: Ta on olemas";"Memo #38: Ta on olemas";"https://9hgnq6yi.sendsmaily.net/templates/33ad3ef6-cd54-5e9d-b023-25f24c92aeb3/html/";"2019-12-23 09:00:00";;"255";"251";"4";"164";"65.3%";"371";"163";"68";"50";"19.9%";"30.5%";0;0;"1"
"Memo #37: Teiste pärast";"Memo #37: Teiste pärast";"https://9hgnq6yi.sendsmaily.net/templates/a89ce622-8357-512d-8fa8-0453cb0f4bfa/html/";"2019-12-16 08:30:00";;"253";"250";"3";"168";"67.2%";"511";"160";"159";"86";"34.4%";"51.2%";0;0;0
"Memo #36: Võidavad need, kellel pole midagi kaotada";"Memo #36: Võidavad need, kellel pole midagi kaotada";"https://9hgnq6yi.sendsmaily.net/templates/664bbdbb-2795-5e75-b70b-598ee109532b/html/";"2019-12-08 08:30:00";;"245";"243";"2";"159";"65.4%";"435";"155";"171";"69";"28.4%";"43.4%";0;0;0
"Memo #35: Kui Sputnik ostaks Memokraadi";"Memo #35: Kui Sputnik ostaks Memokraadi";"https://9hgnq6yi.sendsmaily.net/templates/eda2a41a-41b0-5c39-a3b9-51c21c5b2b48/html/";"2019-12-02 08:30:00";;"244";"240";"4";"154";"64.2%";"292";"152";"26";"20";"8.3%";"13.0%";0;0;0
"Memo #34: Eestile on kehtestatud sanktsioonid, mida teeme?";"Memo #34: Eestile on kehtestatud sanktsioonid, mida teeme?";"https://9hgnq6yi.sendsmaily.net/templates/c7286a88-eca6-5c1a-a970-914b23088aeb/html/";"2019-11-25 08:06:00";;"242";"241";"1";"152";"63.1%";"437";"151";"32";"19";"7.9%";"12.5%";0;0;0
"Memo #33: ST1247, lood ja laserid";"Memo #33: ST1247, lood ja laserid";"https://9hgnq6yi.sendsmaily.net/templates/27cf8cfd-2b60-50b8-a89f-c6f5adac5e22/html/";"2019-11-18 08:30:00";;"242";"241";"1";"146";"60.6%";"272";"143";"55";"38";"15.8%";"26.0%";0;0;0
"Memo #32: Eesti Kaubamaja";"Memo #32: Eesti Kaubamaja";"https://9hgnq6yi.sendsmaily.net/templates/d324bf09-2a28-5ecc-8a41-dd395e12184a/html/";"2019-11-11 08:30:00";;"240";"238";"2";"154";"64.7%";"387";"150";"137";"62";"26.1%";"40.3%";0;0;0
"Memo #31: Kui kohtunik on purjus";"Memo #31: Kui kohtunik on purjus";"https://9hgnq6yi.sendsmaily.net/templates/27832cc5-5edd-5324-a632-7e64b95d8546/html/";"2019-11-04 08:04:00";;"237";"235";"2";"152";"64.7%";"302";"149";"36";"20";"8.5%";"13.2%";0;0;0
"Memo #30: Kui tulevik on liiga lähedal";"Memo #30: Kui tulevik on liiga lähedal";"https://9hgnq6yi.sendsmaily.net/templates/6f4f6fee-c342-5feb-9b11-c12044a9b738/html/";"2019-10-28 08:30:00";;"235";"234";"1";"141";"60.3%";"399";"137";"102";"69";"29.5%";"48.9%";0;0;0
"Memo #29: 🙂😮🤯";"Memo #29: ???";"https://9hgnq6yi.sendsmaily.net/templates/a62ec144-a490-5f64-83f8-d856c92f5d1e/html/";"2019-10-21 08:30:00";;"230";"226";"4";"161";"71.2%";"290";"160";"45";"31";"13.7%";"19.3%";0;0;0
"Memo #28: Asutajad ja ametnikud";"Memo #28: Asutajad ja ametnikud";"https://9hgnq6yi.sendsmaily.net/templates/ea63d5d6-00c4-5e8b-86f6-6aca9c2bd4b2/html/";"2019-10-14 08:30:00";;"229";"227";"2";"150";"66.1%";"304";"141";"125";"82";"36.1%";"54.7%";0;0;0
"Memo #27: Ulmega ulme vastu";"Memo #27: Ulmega ulme vastu";"https://9hgnq6yi.sendsmaily.net/templates/d1aaa90f-33d1-59e0-83e3-628bf6aa680d/html/";"2019-10-07 08:30:00";;"224";"221";"3";"146";"66.1%";"482";"144";"84";"40";"18.1%";"27.4%";0;0;0
"Memo #26: Kohtumiste nädal";"Memo #26: Kohtumiste nädal";"https://9hgnq6yi.sendsmaily.net/templates/ff755062-a543-5e2e-85c0-321fa46b4a5c/html/";"2019-09-30 08:30:00";;"225";"224";"1";"162";"72.3%";"356";"159";"53";"28";"12.5%";"17.3%";0;0;0
"Memo #25: Siiber mutrikeseks olemisest";"Memo #25: Siiber mutrikeseks olemisest";"https://9hgnq6yi.sendsmaily.net/templates/6f7d544d-e830-5f9c-ad79-6ed69e2d898d/html/";"2019-09-23 08:30:00";;"221";"212";"9";"147";"69.3%";"330";"144";"52";"38";"17.9%";"25.9%";0;0;0
"Memo #24: Näitlejad poliitikas";"Memo #24: Näitlejad poliitikas";"https://9hgnq6yi.sendsmaily.net/templates/d3f0c968-cc85-55b7-8e3b-b730e3aa0092/html/";"2019-09-16 08:30:00";;"219";"217";"2";"154";"71.0%";"273";"153";"57";"29";"13.4%";"18.8%";0;0;0
"Memo #23: Mehed, kes kardavad vett";"Memo #23: Mehed, kes kardavad vett";"https://9hgnq6yi.sendsmaily.net/templates/334cd118-d43b-592f-8c93-bd51aecea48e/html/";"2019-09-09 08:30:00";;"219";"219";0;"129";"58.9%";"235";"129";"27";"13";"5.9%";"10.1%";0;0;0
"Memo #22: Riigihanked riigivõistlusteks";"Memo #22: Riighanked riigivõistlusteks";"https://9hgnq6yi.sendsmaily.net/templates/8f8b1a25-7caa-5d84-9f00-bf95d87d84ad/html/";"2019-09-02 07:47:00";;"217";"216";"1";"153";"70.8%";"415";"153";"55";"27";"12.5%";"17.6%";0;0;0
"Memo #21: Moodne lindiskandaal";"Memo #21: Moodne lindiskandaal";"https://9hgnq6yi.sendsmaily.net/templates/a70288a8-0780-5e36-956d-fc6f82157633/html/";"2019-08-26 08:30:00";;"214";"214";0;"150";"70.1%";"266";"149";"26";"22";"10.3%";"14.7%";0;0;0
"Memo #20: Pahvakas sügist";"Memo #20: Pahvakas sügist";"https://9hgnq6yi.sendsmaily.net/templates/acbbe900-4fd8-58d4-813a-8292e967ffaa/html/";"2019-08-19 09:00:00";;"205";"204";"1";"152";"74.5%";"265";"149";"89";"59";"28.9%";"38.8%";0;0;0
"Memo #19: Tavainimese vaprus";"Memo #19: Tavainimese vaprus";"https://9hgnq6yi.sendsmaily.net/templates/31df27a1-e612-5eb6-8747-66983c3c4323/html/";"2019-08-12 08:00:00";;"203";"201";"2";"144";"71.6%";"314";"144";"26";"20";"10.0%";"13.9%";0;0;0
"Memo #18: Kas üks tekst võib midagi muuta?";"Memo #18: Jõhkraid probleeme tuleb läbi valgustada";"https://9hgnq6yi.sendsmaily.net/templates/70f8ff27-37c5-5727-ae82-093da1019a5c/html/";"2019-08-05 08:30:00";;"197";"194";"3";"146";"75.3%";"310";"143";"56";"32";"16.5%";"21.9%";0;0;0
"Memo #17: Pisisoovitusi kliimakatastroofi aegadeks";"Memo #17: Pisisoovitusi kliimakatastroofi aegadeks";"https://9hgnq6yi.sendsmaily.net/templates/026110aa-4726-58a1-9fa0-fd60bd81724a/html/";"2019-07-29 09:18:00";;"191";"189";"2";"126";"66.7%";"395";"125";"78";"36";"19.0%";"28.6%";"1";0;0
"Memo #16: Kas töö saab maailmast otsa või ta alles algab?";"Memo #16: Kas töö saab maailmast otsa või ta alles algab?";"https://9hgnq6yi.sendsmaily.net/templates/1406a7f1-64f4-5d9f-9354-22125202c12e/html/";"2019-07-22 09:00:00";;"189";"187";"2";"127";"67.9%";"281";"126";"28";"22";"11.8%";"17.3%";0;0;0
"Memo #15: Trollimise hind";"Memo #15: Trollimise hind";"https://9hgnq6yi.sendsmaily.net/templates/76a5e174-b522-5f4e-b964-a8415979fc38/html/";"2019-07-15 08:30:00";;"189";"187";"2";"133";"71.1%";"237";"133";"36";"26";"13.9%";"19.5%";0;0;0
"Memo #14: Rikkusest ja jagunemisest";"Memo #14: Rikkusest ja jagunemisest";"https://9hgnq6yi.sendsmaily.net/templates/80add953-1bdf-564c-9cff-f47cbf41c651/html/";"2019-07-08 08:55:00";;"178";"175";"3";"134";"76.6%";"380";"131";"22";"19";"10.9%";"14.2%";0;0;0
"Memo #13: Onu Alko tagasitulek";"Memo #13: Onu Alko tagasitulek";"https://9hgnq6yi.sendsmaily.net/templates/32e75901-c2c4-56ba-a207-11ddbe18e0ef/html/";"2019-07-01 09:00:00";;"175";"173";"2";"129";"74.6%";"262";"129";"42";"26";"15.0%";"20.2%";0;0;0
"Memo #12: Jaanipäeva eriväljaanne";"Memo #12: Jaanipäeva eriväljaanne";"https://9hgnq6yi.sendsmaily.net/templates/47415a8f-845a-5712-98d4-c62c5e047a3d/html/";"2019-06-24 10:00:00";;"173";"171";"2";"119";"69.6%";"282";"118";"60";"41";"24.0%";"34.5%";0;0;0
"Memo #11: Mu isamaa, mu võrk ja rõõm";"Memo #11: Mu isamaa, mu võrk ja rõõm";"https://9hgnq6yi.sendsmaily.net/templates/061cc92a-3779-5cae-9959-a9db9d343e95/html/";"2019-06-17 08:30:00";;"169";"166";"3";"121";"72.9%";"369";"120";"18";"13";"7.8%";"10.7%";0;0;0
"Memo #10: Lisakilomeeter";"Memo #10: Lisakilomeeter";"https://9hgnq6yi.sendsmaily.net/templates/93acb953-3a7b-566a-a235-ba19fb08f88c/html/";"2019-06-10 09:00:00";;"159";"157";"2";"116";"73.9%";"327";"116";"48";"24";"15.3%";"20.7%";0;0;0
"Memo #9: Destruktiivse kiskja konstruktiivne saak";"Memo #9: Destruktiivse kiskja konstruktiivne saak";"https://9hgnq6yi.sendsmaily.net/templates/109a07ff-20d0-5592-aae8-dd41a0d240d0/html/";"2019-06-03 09:00:00";;"156";"153";"3";"113";"73.9%";"295";"112";"29";"21";"13.7%";"18.6%";0;0;0
"Memo #8: Üks võimalus noorte valijate südame võitmiseks";"Memo #8: Üks võimalus noorte valijate südame võitmiseks";"https://9hgnq6yi.sendsmaily.net/templates/dbd967ac-2004-55de-a8a2-0fb59038a054/html/";"2019-05-27 09:00:00";;"135";"134";"1";"97";"72.4%";"309";"97";"28";"21";"15.7%";"21.6%";0;0;0
"Memo #7: Kas Danske tegi Eestist Panama?";"Memo #7: Kas Danske tegi Eestist Panama?";"https://9hgnq6yi.sendsmaily.net/templates/8bcb413d-de73-5515-9da6-e8b956ae6a5c/html/";"2019-05-20 09:00:00";;"124";"123";"1";"83";"67.5%";"337";"82";"57";"29";"23.6%";"34.9%";0;0;0
"Memo #6: Aitab populistide infomuulaks olemisest!";"Memo #6: Aitab populistide infomuulaks olemisest!";"https://9hgnq6yi.sendsmaily.net/templates/e10458ea-e3c4-51cc-9f41-9088352a69a1/html/";"2019-05-13 07:31:00";;"95";"95";0;"69";"72.6%";"441";"68";"83";"22";"23.2%";"31.9%";0;0;0
"Memo #5: Valetamise mustrid";"Memo #5: Valetamise mustrid";"https://9hgnq6yi.sendsmaily.net/templates/019eb42b-d86c-58cb-8f20-5f70a5db251e/html/";"2019-05-06 09:00:00";;"90";"90";0;"62";"68.9%";"122";"62";"3";"3";"3.3%";"4.8%";0;0;0
"Memo #4: Open source ja karuputk";"Memo #4. Open source ja karuputk";"https://9hgnq6yi.sendsmaily.net/templates/aaace727-9231-5d86-963b-44259546936e/html/";"2019-04-29 10:00:00";;"80";"79";"1";"58";"73.4%";"143";"57";"15";"10";"12.7%";"17.2%";0;0;0
"Memo #3: Audio tuleb tagasi.";"Memo #3";"https://9hgnq6yi.sendsmaily.net/templates/b1219460-c101-594f-becc-11260550efc1/html/";"2019-04-22 10:00:00";;"66";"66";0;"42";"63.6%";"104";"40";"27";"18";"27.3%";"42.9%";0;0;0
"Memo #2: Väikesed andmed, mis sisendavad lootust.";"Memo #2";"https://9hgnq6yi.sendsmaily.net/templates/9e96eda1-9964-59ed-a31b-41ee70ae7f6c/html/";"2019-04-15 08:30:00";;"50";"49";"1";"44";"89.8%";"300";"44";"46";"16";"32.7%";"36.4%";"1";0;0
"Memo #1: Goy Fawkes ehk kes istub Ruuben Kaalepi telefonis?";"Memo #1";"https://9hgnq6yi.sendsmaily.net/templates/e994d51e-917d-5cb8-835d-1411ff68ab2a/html/";"2019-04-08 10:23:00";;"40";"38";"2";"27";"71.1%";"195";"27";"55";"11";"28.9%";"40.7%";0;0;0
