post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
152052767.memo-295-japp,2024-11-25T06:31:08.952Z,true,2024-11-25T06:31:09.030Z,2024-11-25T06:31:09.030Z,newsletter,everyone,Memo #295: Jäpp,,
151750843.memo-294-reaalsuse-ratsepad,2024-11-18T06:31:25.737Z,true,2024-11-18T06:31:25.804Z,2024-11-18T06:31:25.804Z,newsletter,everyone,Memo #294: Reaalsuse rätsepad,,
151410417.memo-293-kratt-ja-kaki,2024-11-11T06:31:16.592Z,true,2024-11-11T06:31:16.661Z,2024-11-11T06:31:16.661Z,newsletter,everyone,Memo #293: Kratt ja kaki,,
151096991.memo-292-seadus-ja-vabadus,2024-11-04T06:31:05.117Z,true,2024-11-04T06:31:05.211Z,2024-11-04T06:31:05.211Z,newsletter,everyone,Memo #292: Seadus ja vabadus,,
150743856.memo-291-aeglased-lahingud-vorgustike,2024-10-28T06:31:15.684Z,true,2024-10-28T06:31:15.790Z,2024-10-28T06:31:15.790Z,newsletter,everyone,Memo #291: Võrgustikusõjad,,
150443436.memo-290,2024-10-21T05:31:04.410Z,true,2024-10-21T05:31:04.518Z,2024-10-21T05:31:04.518Z,newsletter,everyone,Memo #290: Kümme selget lauset,,
150162523.memo-289-lageruube-ja-puuduvad-kohvikud,2024-10-14T05:30:56.885Z,true,2024-10-14T05:30:56.973Z,2024-10-14T05:30:56.973Z,newsletter,everyone,Memo #289: Lagerüübe,,
149836658.memo-288-pinata,2024-10-07T05:30:45.965Z,true,2024-10-07T05:30:46.066Z,2024-10-07T05:30:46.066Z,newsletter,everyone,Memo #288: Piñata,,
149521366.memo-287-valismaa-konsultandid,2024-09-30T05:30:58.907Z,true,2024-09-30T05:30:59.040Z,2024-09-30T05:30:59.040Z,newsletter,everyone,Memo #287: Välismaa konsultandid,,
149191575.memo-286-maksumaksja-eri,2024-09-23T05:30:48.595Z,true,2024-09-23T05:30:48.678Z,2024-09-23T05:30:48.678Z,newsletter,everyone,Memo #286: Maksumaksja eri,,
148878041.memo-285-vastuta,2024-09-16T05:30:29.183Z,true,2024-09-16T05:30:29.278Z,2024-09-16T05:30:29.278Z,newsletter,everyone,Memo #285: Vastuta.,,
148604574.memo-284-kooliaasta-algas,2024-09-09T05:30:19.337Z,true,2024-09-09T05:30:19.444Z,2024-09-09T05:30:19.444Z,newsletter,everyone,Memo #284: Kooliaasta algas,,
148332688.memo-283-energia-on-paigas,2024-09-02T05:31:00.058Z,true,2024-09-02T05:31:00.181Z,2024-09-02T05:31:00.181Z,newsletter,everyone,Memo #283: Energia on paigas,,
148070259.memo-282-kas-sa-oled-valmis-veidraks,2024-08-26T05:31:13.059Z,true,2024-08-26T05:31:13.131Z,2024-08-26T05:31:13.131Z,newsletter,everyone,Memo #282: Kas sa oled valmis veidraks?,,
147812540.memo-281-ajalooteljel-edasi-tagasi,2024-08-19T05:30:13.788Z,true,2024-08-19T05:30:13.893Z,2024-08-19T05:30:13.893Z,newsletter,everyone,Memo #281: Ajalooteljel edasi-tagasi,,
147547754.memo-280-astuvad-rehale,2024-08-12T05:30:30.321Z,true,2024-08-12T05:30:30.402Z,2024-08-12T05:30:30.402Z,newsletter,everyone,Memo #280: Astuvad rehale,,
147330057.memo-279-kringel-adum,2024-08-05T05:31:08.645Z,true,2024-08-05T05:31:08.724Z,2024-08-05T05:31:08.724Z,newsletter,everyone,Memo #279: Kringel adum,,
147060466.memo-278,2024-07-29T05:31:01.740Z,true,2024-07-29T05:31:01.891Z,2024-07-29T05:31:01.891Z,newsletter,everyone,Memo #278: ⭐️⭐️⭐️☆☆☆☆☆☆☆,,
146814419.memo-277-miks-nad-ometi-toetavad,2024-07-22T05:31:08.206Z,true,2024-07-22T05:31:08.303Z,2024-07-22T05:31:08.303Z,newsletter,everyone,Memo #277: Miks nad ometi toetavad Trumpi,,
146568438.memo-276-kapitali-koondumised,2024-07-15T05:30:47.651Z,true,2024-07-15T05:30:47.766Z,2024-07-15T05:30:47.766Z,newsletter,everyone,Memo #276: Kapitali koondumised,,
146335298.memo-275-napo-keerulises-maailmas,2024-07-08T05:31:02.310Z,true,2024-07-08T05:31:02.512Z,2024-07-08T05:31:02.512Z,newsletter,everyone,Memo #275: Näpö keerulises maailmas,,
146074536.memo-274-oigel-kohal,2024-07-01T05:30:42.839Z,true,2024-07-01T05:30:43.005Z,2024-07-01T05:30:43.005Z,newsletter,everyone,Memo #274: Kes võidab?,,
145886566.memo-273-diil,2024-06-24T05:30:51.540Z,true,2024-06-24T05:30:51.637Z,2024-06-24T05:30:51.637Z,newsletter,everyone,Memo #273: Diil,,
145668026.memo-272-antennid-ja-piksevardad,2024-06-17T05:30:55.374Z,true,2024-06-17T05:30:55.501Z,2024-06-17T05:30:55.501Z,newsletter,everyone,Memo #272: Antennid ja piksevardad,,
145439506.memo-271-murakas-turistiklassis,2024-06-10T05:31:20.084Z,true,2024-06-10T05:31:20.154Z,2024-06-10T05:31:20.154Z,newsletter,everyone,Memo #271: Mürakas turistiklassis,,
145192356.memo-270-valima,2024-06-03T05:30:16.067Z,true,2024-06-03T05:30:16.157Z,2024-06-03T05:30:16.157Z,newsletter,everyone,Memo #270: Valima!,,
144963582.memo-269-susteemsed-pingutused,2024-05-27T05:30:38.933Z,true,2024-05-27T05:30:39.033Z,2024-05-27T05:30:39.033Z,newsletter,everyone,Memo #269: Süsteemsed pingutused,,
144748639.memo-268-outro,2024-05-20T05:30:57.539Z,true,2024-05-20T05:30:57.640Z,2024-05-20T05:30:57.640Z,newsletter,everyone,Memo #268: Outro,,
144525998.memo-267-alasti-tode,2024-05-13T05:30:35.938Z,true,2024-05-13T05:30:36.020Z,2024-05-13T05:30:36.020Z,newsletter,everyone,Memo #267: Alasti tõde,,
144304968.memo-266-malu-petab,2024-05-06T05:30:29.251Z,true,2024-05-06T05:30:29.314Z,2024-05-06T05:30:29.314Z,newsletter,everyone,Memo #266: Mälu petab,,
144039191.memo-265-valismaalt,2024-04-29T05:30:51.140Z,true,2024-04-29T05:30:51.206Z,2024-04-29T05:30:51.206Z,newsletter,everyone,Memo #265: Välismaalt,,
143792538.memo-264-tokendid,2024-04-22T05:30:43.662Z,true,2024-04-22T05:30:43.754Z,2024-04-22T05:30:43.754Z,newsletter,everyone,Memo #264: Tõkendid,,
143543157.memo-263-loodusseadused-kehtivad,2024-04-15T05:31:05.873Z,true,2024-04-15T05:31:06.009Z,2024-04-15T05:31:06.009Z,newsletter,everyone,Memo #263: Loodusseadused kehtivad edasi,,
143327378.memo-262-saame-ikka-kokku-ka,2024-04-08T05:30:56.761Z,true,2024-04-08T05:30:56.827Z,2024-04-08T05:30:56.827Z,newsletter,everyone,Memo 262: Saame ikka kokku ka,,
143075475.memo-261-gruppide-sulandumine,2024-04-01T05:30:06.434Z,true,2024-04-01T05:30:06.491Z,2024-04-01T05:30:06.491Z,newsletter,everyone,Memo #261: Gruppide sulandumine,,
142879344.memo-260-bullerby-jookseb-laiali,2024-03-25T06:30:42.374Z,true,2024-03-25T06:30:42.511Z,2024-03-25T06:30:42.511Z,newsletter,everyone,Memo #260: Bullerby jookseb laiali,,
142662592.memo-259-adumid-riigikogus,2024-03-18T06:30:21.514Z,true,2024-03-18T06:30:21.590Z,2024-03-18T06:30:21.590Z,newsletter,everyone,Memo #259: Adumid riigikogus,,
142445048.memo-258-sonastamise-joud,2024-03-11T06:30:27.704Z,true,2024-03-11T06:30:27.775Z,2024-03-11T06:30:27.775Z,newsletter,everyone,Memo #258: Sõnastamise jõud,,
142394624.sandbox,,false,,,newsletter,everyone,,,
142237366.memo-257-sumptom-varjutab-pohjust,2024-03-04T06:30:19.962Z,true,2024-03-04T06:30:20.076Z,2024-03-04T06:30:20.076Z,newsletter,everyone,Memo #257: Sümptom varjutab põhjust,,
141954550.memo-256-petlikud-kujud,2024-02-26T06:30:40.160Z,true,2024-02-26T06:30:40.227Z,2024-02-26T06:30:40.227Z,newsletter,everyone,Memo #256: Petlikud kujud,,
141753321.memo-255-ilmajaetus,2024-02-19T06:31:20.680Z,true,2024-02-19T06:31:20.787Z,2024-02-19T06:31:20.787Z,newsletter,everyone,Memo #255: Ilmajäetus,,
141520411.memo-254-see-juhtub-varsti,2024-02-12T06:31:15.960Z,true,2024-02-12T06:31:16.036Z,2024-02-12T06:31:16.036Z,newsletter,everyone,Memo #254: See juhtub varsti,,
141333451.memo-253-ennustamatud,2024-02-05T06:30:15.890Z,true,2024-02-05T06:30:15.958Z,2024-02-05T06:30:15.958Z,newsletter,everyone,Memo #253: Ennustamatud,,
141092640.memo-252-ule-piiri-moju,2024-01-29T06:30:30.996Z,true,2024-01-29T06:30:31.089Z,2024-01-29T06:30:31.089Z,newsletter,everyone,Memo #252: Üle piiri mõju,,
140799171.memo-251-kas-sa-elad-narvas,2024-01-22T06:30:14.629Z,true,2024-01-22T06:30:14.740Z,2024-01-22T06:30:14.740Z,newsletter,everyone,Memo #251: Kas sa elad narvas?,,
140669272.memo-250-vaike-pind-aga-suur-energia,2024-01-15T06:30:58.354Z,true,2024-01-15T06:30:58.426Z,2024-01-15T06:30:58.426Z,newsletter,everyone,Memo #250: Adum ja Ministeerium,,
140413387.memo-249-valikud,2024-01-08T06:30:43.724Z,true,2024-01-08T06:30:44.274Z,2024-01-08T06:30:44.274Z,newsletter,everyone,Memo #249: Valikud,,
140193146.memo-248-uus-algus,2024-01-01T06:30:39.097Z,true,2024-01-01T06:30:39.734Z,2024-01-01T06:30:39.734Z,newsletter,everyone,Memo #248: Uus algus,,
140027628.memo-247-sammud-teisel-korrusel,2023-12-25T06:30:24.389Z,true,2023-12-25T06:30:24.475Z,2023-12-25T06:30:24.475Z,newsletter,everyone,Memo #247: Sammud teisel korrusel,🎄🎄🎄,
139833370.memo-246-vana-meedia-valesautsud,2023-12-18T06:30:41.406Z,true,2023-12-18T06:30:41.471Z,2023-12-18T06:30:41.471Z,newsletter,everyone,Memo #246: Vana meedia valesäutsud,,
139637279.memo-245-tasuta,2023-12-11T06:30:21.341Z,true,2023-12-11T06:30:21.406Z,2023-12-11T06:30:21.406Z,newsletter,everyone,Memo #245: Tasuta,,
139331198.memo-244-humanistlikud-plaanid,2023-12-04T06:30:40.164Z,true,2023-12-04T06:30:40.236Z,2023-12-04T06:30:40.236Z,newsletter,everyone,Memo #244: Humanistlikud plaanid,,
139121722.memo-243-tasahilju,2023-11-27T06:30:38.515Z,true,2023-11-27T06:30:38.584Z,2023-11-27T06:30:38.584Z,newsletter,everyone,Memo #243: Tasahilju,,
138962598.memo-242-tehisarulagedus,2023-11-20T06:30:45.027Z,true,2023-11-20T06:30:45.125Z,2023-11-20T06:30:45.125Z,newsletter,everyone,Memo #242: Tehisarulagedus,,
138750831.memo-241-ole-palun-ebapopulaarne,2023-11-13T06:30:57.445Z,true,2023-11-13T06:30:57.538Z,2023-11-13T06:30:57.538Z,newsletter,everyone,Memo #241: Ole palun ebapopulaarne,,
138573522.memo-240-sild-jaapanist,2023-11-06T06:30:27.377Z,true,2023-11-06T06:30:27.451Z,2023-11-06T06:30:27.451Z,newsletter,everyone,Memo #240: Sild Jaapanist,,
138305433.memo-239-ma-saan-olla-sina,2023-10-30T06:30:20.700Z,true,2023-10-30T06:30:20.926Z,2023-10-30T06:30:20.926Z,newsletter,everyone,Memo #239: Ma saan olla sina,,
138160863.memo-238-tekstikriis-ja-ohuke-riik,2023-10-23T05:30:18.986Z,true,2023-10-23T05:30:19.044Z,2023-10-23T05:30:19.044Z,newsletter,everyone,Memo #238: Tekstikriis ja õhuke riik,,
137902322.memo-237-usutavus,2023-10-16T05:30:29.001Z,true,2023-10-16T05:30:29.059Z,2023-10-16T05:30:29.059Z,newsletter,everyone,Memo #237: Usutavus,,
137663258.memo-236-vaikne-lahkumine,2023-10-09T05:30:18.354Z,true,2023-10-09T05:30:18.497Z,2023-10-09T05:30:18.497Z,newsletter,everyone,Memo #236: Hääletu lahkumine,,
137560842.memo-235-reaktsiooniuhiskond,2023-10-02T05:30:04.892Z,true,2023-10-02T05:30:04.971Z,2023-10-02T05:30:04.971Z,newsletter,everyone,Memo #235: Reaktsiooniühiskond,,
137315965.memo-234-naerata-ometi,2023-09-25T05:30:06.560Z,true,2023-09-25T05:30:06.631Z,2023-09-25T05:30:06.631Z,newsletter,everyone,Memo #234: Naerata ometi,,
137118535.memo-233-aega-votab-aga-asja-saab,2023-09-18T05:30:06.404Z,true,2023-09-18T05:30:06.522Z,2023-09-18T05:30:06.522Z,newsletter,everyone,"Memo #233: Aega võtab, aga asja saab",,
136877047.memo-232-digitriumfi-nadal,2023-09-11T05:30:10.082Z,true,2023-09-11T05:30:10.234Z,2023-09-11T05:30:10.234Z,newsletter,everyone,Memo #232: Digitriumfi nädal,,
136666278.memo-231-kaarid,2023-09-04T05:30:14.714Z,true,2023-09-04T05:30:14.782Z,2023-09-04T05:30:14.782Z,newsletter,everyone,Memo #231: Käärid,,
136426512.memo-230-kuidas-hupata-ule-oma-varju,2023-08-28T05:30:09.850Z,true,2023-08-28T05:30:09.939Z,2023-08-28T05:30:09.939Z,newsletter,everyone,Memo #230: Kuidas hüpata üle oma varju,,
136216903.memo-229-samm-sammult-leppimine,2023-08-21T05:30:17.622Z,true,2023-08-21T05:30:17.731Z,2023-08-21T05:30:17.731Z,newsletter,everyone,Memo #229: Samm-sammult leppimine,,
135955435.memo-228-ai-ai-ai,2023-08-14T05:30:01.989Z,true,2023-08-14T05:30:02.044Z,2023-08-14T05:30:02.044Z,newsletter,everyone,Memo #228: Ai ai ai,,
135715849.memo-227-uli,2023-08-07T05:30:06.082Z,true,2023-08-07T05:30:06.161Z,2023-08-07T05:30:06.161Z,newsletter,everyone,Memo #227: Üli,,
135565897.memo-226-silm-silma-vastu,2023-07-31T05:31:02.271Z,true,2023-07-31T05:31:02.339Z,2023-07-31T05:31:02.339Z,newsletter,everyone,Memo #226: Silm silma vastu,,
135267295.memo-225-suur-sorteerumine,2023-07-24T05:30:10.233Z,true,2023-07-24T05:30:10.339Z,2023-07-24T05:30:10.339Z,newsletter,everyone,Memo #225: Suur sorteerumine,,
135018874.memo-224-misfiti-seiklused,2023-07-17T05:30:08.250Z,true,2023-07-17T05:30:08.339Z,2023-07-17T05:30:08.339Z,newsletter,everyone,Memo #224: Misfiti seiklused,,
133855814.memo-223-kes-kardab-ajakirjandust,2023-07-10T05:30:25.067Z,true,2023-07-10T05:30:25.137Z,2023-07-10T05:30:25.137Z,newsletter,everyone,Memo #223: Kes kardab ajakirjandust?,,
132211136.memo-222-tulu-ja-moju,2023-07-03T05:30:07.515Z,true,2023-07-03T05:30:07.584Z,2023-07-03T05:30:07.584Z,newsletter,everyone,Memo #222: Tulu ja mõju,,
130663839.memo-221-puts-voi-asi,2023-06-26T05:30:11.234Z,true,2023-06-26T05:30:11.322Z,2023-06-26T05:30:11.322Z,newsletter,everyone,Memo #221: Putš või asi,,
128805852.memo-220-kriitika-nursipalustumine,2023-06-19T05:31:04.113Z,true,2023-06-19T05:31:04.178Z,2023-06-19T05:31:04.178Z,newsletter,everyone,Memo #220: Kriitika nursipalustumine,,
127450369.memo-219,2023-06-12T05:31:01.358Z,true,2023-06-12T05:31:01.431Z,2023-06-12T05:31:01.431Z,newsletter,everyone,Memo #219: Läbi metsa ja linna,,
124738870.memo-218-mis-on-suurim-vaartus,2023-06-05T05:30:08.596Z,true,2023-06-05T05:30:08.655Z,2023-06-05T05:30:08.655Z,newsletter,everyone,Memo #218: Mis on suurim väärtus?,,
124122754.memo-217-kulalised,2023-05-29T05:30:30.757Z,true,2023-05-29T05:30:30.820Z,2023-05-29T05:30:30.820Z,newsletter,everyone,Memo #217: Külalised,,
122622275.memo-216-uus-ei-ole-vabandus,2023-05-22T05:30:54.987Z,true,2023-05-22T05:30:55.102Z,2023-05-22T05:30:55.102Z,newsletter,everyone,Memo #216: Uus ei ole vabandus,,
121119603.memo-215-onnelik-klient,2023-05-15T05:30:15.140Z,true,2023-05-15T05:30:15.233Z,2023-05-15T05:30:15.233Z,newsletter,everyone,Memo #215: Õnnelik klient,,
118714656.memo-214-vorgustiku-sees-voi-valjas,2023-05-08T05:30:50.580Z,true,2023-05-08T05:30:50.682Z,2023-05-08T05:30:50.682Z,newsletter,everyone,Memo #214: Võrgustiku sees või väljas,,
118260843.memo-213-e-riigi-erastamine,2023-05-01T05:30:03.688Z,true,2023-05-01T05:30:03.745Z,2023-05-01T05:30:03.745Z,newsletter,everyone,Memo #213: E-riigi erastamine,,
115578222.memo-212-keset-reegleid,2023-04-24T05:31:06.024Z,true,2023-04-24T05:31:06.116Z,2023-04-24T05:31:06.116Z,newsletter,everyone,Memo #212: Keset reegleid,,
114787976.memo-211-kas-infokalupsis-on-alanud,2023-04-17T05:30:51.342Z,true,2023-04-17T05:30:51.429Z,2023-04-17T05:30:51.429Z,newsletter,everyone,Memo #211: Kas infokalüpsis on alanud?,,
114285943.join-me-on-notes,2023-04-12T09:27:56.976Z,true,,,newsletter,everyone,Join me on Notes,A new place to connect,
113266629.memo-210-masin-laheb-lahingusse,2023-04-10T05:30:53.450Z,true,2023-04-10T05:30:53.538Z,2023-04-10T05:30:53.538Z,newsletter,everyone,Memo #210: Masin läheb lahingusse,"Päris pikk Memo, aga noh, oli pikk nädalavahetus ka",
112003399.memo-209-knight-rideri-probleem,2023-04-03T05:30:56.865Z,true,2023-04-03T05:30:57.002Z,2023-04-03T05:30:57.002Z,newsletter,everyone,Memo #209: Knight Rideri probleem,,
110570174.memo-208-mitte-ainult-meestest,2023-03-27T05:30:52.639Z,true,2023-03-27T05:30:52.703Z,2023-03-27T05:30:52.703Z,newsletter,everyone,Memo #208: Mitte ainult meestest,,
109153045.memo-207-enne-valitsust,2023-03-20T06:30:11.313Z,true,2023-03-20T06:30:11.383Z,2023-03-20T06:30:11.383Z,newsletter,everyone,Memo #207: Enne valitsust,,
107834294.memo-206-lootusetust-soova-koletise,2023-03-13T06:30:15.554Z,true,2023-03-13T06:30:15.675Z,2023-03-13T06:30:15.675Z,newsletter,everyone,Memo #206: Lootusetust sööva koletise lõuad,,
106548407.memo-205-kuidas-seda-nimetada,2023-03-06T06:30:18.072Z,true,2023-03-06T06:30:18.133Z,2023-03-06T06:30:18.133Z,newsletter,everyone,Memo #205: Valitud!,,
104989076.memo-204-millest-ajakirjanikud-sulle,2023-02-27T06:30:13.250Z,true,2023-02-27T06:30:13.334Z,2023-02-27T06:30:13.334Z,newsletter,everyone,Memo #204: Millest ajakirjanikud sulle ei räägi,,
103652249.memo-203-segased,2023-02-20T06:30:08.738Z,true,2023-02-20T06:30:08.811Z,2023-02-20T06:30:08.811Z,newsletter,everyone,Memo #203: Segased,,
102227400.memo-202-rainer-mart-ja-dan,2023-02-13T06:30:05.921Z,true,2023-02-13T06:30:06.063Z,2023-02-13T06:30:06.063Z,newsletter,everyone,"Memo #202: Rainer, Märt ja Dan",,
100804543.memo-201-maagiline,2023-02-06T06:31:02.627Z,true,2023-02-06T06:31:02.715Z,2023-02-06T06:31:02.715Z,newsletter,everyone,Memo #201: Maagiline,,
99561874.memo-200-uued-silmad,2023-01-30T05:31:04.415Z,true,2023-01-30T05:31:04.505Z,2023-01-30T05:31:04.505Z,newsletter,everyone,Memo #200: Uued silmad,,
98081350.memo-199-mangulised-vargused,2023-01-23T06:30:06.215Z,true,2023-01-23T06:30:06.315Z,2023-01-23T06:30:06.315Z,newsletter,everyone,Memo #199: Mängulised vargused,NB! Järgmisel esmaspäeval 30/01 kl 08:30 Memo #200 hommikukohv Vabamus!,
96635500.memo-198-radioaktiivsed-otsused,2023-01-16T06:30:53.766Z,true,2023-01-16T06:30:53.836Z,2023-01-16T06:30:53.836Z,newsletter,everyone,Memo #198: Radioaktiivsed otsused,,
95255860.memo-197-hakkame-hasti-elama,2023-01-09T06:30:57.664Z,true,2023-01-09T06:30:57.742Z,2023-01-09T06:30:57.742Z,newsletter,everyone,Memo #197: Hakkame hästi elama ,,
93880958.memo-196-kas-savisaar-oli-bugi-voi,2023-01-02T06:30:21.718Z,true,2023-01-02T06:30:21.846Z,2023-01-02T06:30:21.846Z,newsletter,everyone,Memo #196: Kas Savisaar oli bugi või featuur?,,
92798776.memo-195-proovime-eksida,2022-12-26T06:30:05.425Z,true,2022-12-26T06:30:05.508Z,2022-12-26T06:30:05.508Z,newsletter,everyone,Memo #195: Proovime eksida,,
91251390.memo-194-minevik-on-moodas,2022-12-19T06:30:54.953Z,true,2022-12-19T06:30:55.043Z,2022-12-19T06:30:55.043Z,newsletter,everyone,Memo #194: Minevik on möödas,,
89756286.memo-193-mis-saab-memokraadist,2022-12-12T06:31:02.197Z,true,2022-12-12T06:31:02.265Z,2022-12-12T06:31:02.265Z,newsletter,everyone,Memo #193: Mis saab Memokraadist? ,,
88594232.memo-192-maailma-peal-valla,2022-12-05T06:30:58.257Z,true,2022-12-05T06:30:58.401Z,2022-12-05T06:30:58.401Z,newsletter,everyone,Memo #192: Maailma peal valla,,
87100658.memo-191-teeme,2022-11-28T06:31:02.912Z,true,2022-11-28T06:31:03.073Z,2022-11-28T06:31:03.073Z,newsletter,everyone,Memo #191: Teeme,,
85511418.memo-190-jalle-olukorrast-inforuumis,2022-11-21T06:30:05.406Z,true,2022-11-21T06:30:05.578Z,2022-11-21T06:30:05.578Z,newsletter,everyone,Memo #190: Jälle olukorrast inforuumis,,
82921665.memo-189-kohanemise-meistriklass,2022-11-14T06:30:21.878Z,true,2022-11-14T06:30:22.457Z,2022-11-14T06:30:22.457Z,newsletter,everyone,Memo #189: Kohanemise meistriklass,,
82511985.memo-188-jalle-jaapan,2022-11-07T06:30:53.311Z,true,2022-11-07T06:30:53.564Z,2022-11-07T06:30:53.564Z,newsletter,everyone,Memo #188: Jälle Jaapan,,
81370698.memo-187-umbne-lugu,2022-10-31T06:30:43.030Z,true,2022-10-31T06:30:43.152Z,2022-10-31T06:30:43.152Z,newsletter,everyone,Memo #187: Umbne lugu,,
80112937.memo-186-suur-luliti,2022-10-24T05:31:00.047Z,true,2022-10-24T05:31:00.211Z,2022-10-24T05:31:00.211Z,newsletter,everyone,Memo #186: Suur lüliti,,
78550091.memo-185-programmeeritavad-rakud,2022-10-17T05:30:21.583Z,true,2022-10-17T05:30:21.695Z,2022-10-17T05:30:21.695Z,newsletter,everyone,Memo #185: Programmeeritavad rakud ja tähikud,,
77169316.memo-184-mudimine-ja-kogumine,2022-10-10T05:30:55.826Z,true,2022-10-10T05:30:55.949Z,2022-10-10T05:30:55.949Z,newsletter,everyone,Memo #184: Mudimine ja kogumine,,
75897143.memo-183-prognoositavad-kaigud,2022-10-03T05:30:59.426Z,true,2022-10-03T05:30:59.569Z,2022-10-03T05:30:59.569Z,newsletter,everyone,Memo #183: Prognoositavad käigud,,
74737391.memo-182-usaldus-ja-uraskid,2022-09-26T05:31:01.494Z,true,2022-09-26T05:31:01.654Z,2022-09-26T05:31:01.654Z,newsletter,everyone,Memo #182: Usaldus ja üraskid,,
73702216.memo-181-olukorrast-inforuumis,2022-09-19T05:31:01.267Z,true,2022-09-19T05:31:01.399Z,2022-09-19T05:31:01.399Z,newsletter,everyone,Memo #181: Olukorrast inforuumis,,
72675897.memo-180-labipaistvamaks,2022-09-12T05:31:18.585Z,true,2022-09-12T05:31:18.759Z,2022-09-12T05:31:18.759Z,newsletter,everyone,Memo #180: Läbipaistvamaks,,
71747664.memo-179-molekulid,2022-09-05T05:30:16.621Z,true,2022-09-05T05:30:16.727Z,2022-09-05T05:30:16.727Z,newsletter,everyone,Memo #179: Molekulid,,
